group,function,value,sample_time_nanos,iteration_count
[a16f139] Louds(N)::index_to_node_num() 10000 times,,32768,2735125.0,2
[a16f139] Louds(N)::index_to_node_num() 10000 times,,32768,5638127.0,4
[a16f139] Louds(N)::index_to_node_num() 10000 times,,32768,8249884.0,6
[a16f139] Louds(N)::index_to_node_num() 10000 times,,32768,11054635.0,8
[a16f139] Louds(N)::index_to_node_num() 10000 times,,32768,13740188.0,10
[a16f139] Louds(N)::index_to_node_num() 10000 times,,32768,16527259.0,12
[a16f139] Louds(N)::index_to_node_num() 10000 times,,32768,19199951.0,14
[a16f139] Louds(N)::index_to_node_num() 10000 times,,32768,22050763.0,16
[a16f139] Louds(N)::index_to_node_num() 10000 times,,32768,24737370.0,18
[a16f139] Louds(N)::index_to_node_num() 10000 times,,32768,27413465.0,20
