group,function,value,sample_time_nanos,iteration_count
[a16f139] Louds(N)::index_to_node_num() 10000 times,,4096,44814277.0,33
[a16f139] Louds(N)::index_to_node_num() 10000 times,,4096,89737339.0,66
[a16f139] Louds(N)::index_to_node_num() 10000 times,,4096,134657574.0,99
[a16f139] Louds(N)::index_to_node_num() 10000 times,,4096,179698411.0,132
[a16f139] Louds(N)::index_to_node_num() 10000 times,,4096,225444964.0,165
[a16f139] Louds(N)::index_to_node_num() 10000 times,,4096,269546380.0,198
[a16f139] Louds(N)::index_to_node_num() 10000 times,,4096,314642231.0,231
[a16f139] Louds(N)::index_to_node_num() 10000 times,,4096,360240232.0,264
[a16f139] Louds(N)::index_to_node_num() 10000 times,,4096,404969121.0,297
[a16f139] Louds(N)::index_to_node_num() 10000 times,,4096,450832912.0,330
