group,function,value,sample_time_nanos,iteration_count
[a16f139] Louds(N)::parent_to_children() 10000 times,,32768,47243475.0,2
[a16f139] Louds(N)::parent_to_children() 10000 times,,32768,94650648.0,4
[a16f139] Louds(N)::parent_to_children() 10000 times,,32768,141555689.0,6
[a16f139] Louds(N)::parent_to_children() 10000 times,,32768,188789659.0,8
[a16f139] Louds(N)::parent_to_children() 10000 times,,32768,236190828.0,10
[a16f139] Louds(N)::parent_to_children() 10000 times,,32768,284037839.0,12
[a16f139] Louds(N)::parent_to_children() 10000 times,,32768,332065814.0,14
[a16f139] Louds(N)::parent_to_children() 10000 times,,32768,378497795.0,16
[a16f139] Louds(N)::parent_to_children() 10000 times,,32768,426593083.0,18
[a16f139] Louds(N)::parent_to_children() 10000 times,,32768,473322578.0,20
